Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,-9999
186,James Garner,eng ENG,MF,Everton,22-058,2001,13,4,549,6.1,0,1,1,0,0,0,1,0,4e015693
187,David de Gea,es ESP,GK,Manchester Utd,32-184,1990,34,34,3060,34.0,0,0,0,0,0,0,0,0,7ba6d84e
188,Joe Gelhardt,eng ENG,FW,Leeds United,21-006,2002,15,1,212,2.4,0,2,2,0,0,0,1,0,01962d0d
189,Saman Ghoddos,ir IRN,MFDF,Brentford,29-246,1993,13,0,132,1.5,0,0,0,0,0,0,0,0,f7b1d4e0
190,Morgan Gibbs-White,eng ENG,FWMF,Wolves,23-103,2000,2,2,180,2.0,0,0,0,0,0,0,1,0,32f60ed8
191,Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,23-103,2000,32,31,2703,30.0,5,7,12,3,2,2,3,0,32f60ed8
192,Billy Gilmour,sct SCO,MF,Brighton,21-333,2001,10,4,340,3.8,0,0,0,0,0,0,1,0,df10e27c
193,Degnand Gnonto,it ITA,FWMF,Leeds United,19-186,2003,21,14,1267,14.1,2,4,6,2,0,0,6,0,75fdd638
194,Ben Godfrey,eng ENG,DF,Everton,25-115,1998,13,10,802,8.9,0,1,1,0,0,0,2,0,9f7c837d
195,João Gomes,br BRA,MF,Wolves,22-087,2001,9,5,479,5.3,1,0,1,1,0,0,5,0,8b57ad2c
196,Toti Gomes,pt POR,DF,Wolves,24-114,1999,14,8,810,9.0,1,0,1,1,0,0,6,0,f0caab96
197,Joe Gomez,eng ENG,DF,Liverpool,25-352,1997,20,14,1376,15.3,0,0,0,0,0,0,3,0,7a11550b
198,Sergio Gómez,es ESP,DFMF,Manchester City,22-248,2000,8,0,174,1.9,0,1,1,0,0,0,0,0,01e5f06e
199,Anthony Gordon,eng ENG,FWMF,Newcastle Utd,22-075,2001,12,3,397,4.4,0,0,0,0,0,0,1,0,2bd83368
200,Anthony Gordon,eng ENG,FW,Everton,22-075,2001,16,12,1095,12.2,3,0,3,3,0,0,6,0,2bd83368
201,Demarai Gray,eng ENG,FWMF,Everton,26-316,1996,30,26,2360,26.2,4,1,5,2,2,2,3,0,4468ec10
202,Jack Grealish,eng ENG,FW,Manchester City,27-242,1995,27,23,2042,22.7,5,7,12,5,0,0,4,0,b0b4fd3e
203,Sam Greenwood,eng ENG,MFFW,Leeds United,21-104,2002,16,2,372,4.1,1,2,3,1,0,0,1,0,f3354c07
204,Pascal Groß,de GER,MFDF,Brighton,31-329,1991,32,32,2811,31.2,8,6,14,8,0,0,3,0,8aec0537
205,Vicente Guaita,es ESP,GK,Crystal Palace,36-120,1987,27,27,2430,27.0,0,0,0,0,0,0,1,0,ab13a5aa
206,Gonçalo Guedes,pt POR,FWMF,Wolves,26-162,1996,13,8,707,7.9,1,1,2,1,0,0,1,0,e6bc67d7
207,Marc Guéhi,eng ENG,DF,Crystal Palace,22-301,2000,34,34,3059,34.0,1,0,1,1,0,0,8,0,d0706b27
208,Bruno Guimarães,br BRA,MF,Newcastle Utd,25-175,1997,28,28,2366,26.3,3,5,8,3,0,0,4,0,82518f62
209,İlkay Gündoğan,de GER,MF,Manchester City,32-198,1990,29,25,2186,24.3,6,3,9,6,0,1,0,0,819b3158
210,Darko Gyabi,eng ENG,FW,Leeds United,19-081,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,56d838f7
211,Erling Haaland,no NOR,FW,Manchester City,22-293,2000,32,31,2585,28.7,35,7,42,28,7,7,5,0,1f44ac21
212,Lewis Hall,eng ENG,DFMF,Chelsea,18-244,2004,5,4,304,3.4,0,0,0,0,0,0,1,0,da011f18
213,Luke Harris,wls WAL,MFFW,Fulham,18-037,2005,3,0,13,0.1,0,0,0,0,0,0,0,0,8c3078cd
214,Jack Harrison,eng ENG,FWMF,Leeds United,26-171,1996,33,31,2497,27.7,4,7,11,4,0,0,2,0,aa849a12
215,Kai Havertz,de GER,FWMF,Chelsea,23-333,1999,31,27,2346,26.1,7,1,8,6,1,1,4,0,fed7cb61
216,Jan Paul van Hecke,nl NED,DF,Brighton,22-336,2000,4,1,87,1.0,0,0,0,0,0,0,0,0,4fd08daa
217,Hwang Hee-chan,kr KOR,FWMF,Wolves,27-104,1996,24,10,946,10.5,2,1,3,2,0,0,1,0,169fd162
218,Dean Henderson,eng ENG,GK,Nott'ham Forest,26-059,1997,18,18,1620,18.0,0,0,0,0,0,0,2,0,e5a76dfe
219,Jordan Henderson,eng ENG,MF,Liverpool,32-327,1990,32,21,1896,21.1,0,2,2,0,0,0,2,0,935e6b8f
220,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,36-106,1987,2,2,180,2.0,0,0,0,0,0,0,0,0,76eca7e2
221,Rico Henry,eng ENG,DF,Brentford,25-306,1997,34,34,2968,33.0,0,2,2,0,0,0,3,0,8a3c1dc7
222,Son Heung-min,kr KOR,MFFW,Tottenham,30-306,1992,33,30,2633,29.3,10,5,15,10,0,0,2,0,92e7e919
223,Aaron Hickey,sct SCO,DF,Brentford,20-334,2002,23,20,1675,18.6,0,0,0,0,0,0,6,0,1780bb4a
224,Joseph Hodge,ie IRL,MF,Wolves,20-238,2002,5,1,169,1.9,0,0,0,0,0,0,1,0,bd8a5d95
225,Rob Holding,eng ENG,DF,Arsenal,27-232,1995,14,6,566,6.3,1,0,1,1,0,0,0,0,d79a8c87
226,Mason Holgate,eng ENG,DF,Everton,26-200,1996,6,4,444,4.9,0,0,0,0,0,0,3,1,d0042ab9
227,Will Hughes,eng ENG,MF,Crystal Palace,28-023,1995,24,4,587,6.5,0,1,1,0,0,0,4,0,a0666d3e
228,Omari Hutchinson,eng ENG,FW,Chelsea,19-192,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,bd9553e6
229,Pierre Højbjerg,dk DEN,MF,Tottenham,27-278,1995,34,34,3041,33.8,4,5,9,4,0,0,5,0,8b04d6c1
230,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,26-219,1996,26,9,1006,11.2,5,4,9,4,1,1,0,0,c92e1a31
231,Danny Ings,eng ENG,FW,West Ham,30-291,1992,14,5,575,6.4,2,0,2,2,0,0,0,0,07802f7f
232,Danny Ings,eng ENG,FW,Aston Villa,30-291,1992,18,8,824,9.2,6,0,6,4,2,2,3,0,07802f7f
233,Alexander Isak,se SWE,FW,Newcastle Utd,23-231,1999,18,13,1166,13.0,10,1,11,8,2,2,2,0,8e92be30
234,Daniel Iversen,dk DEN,GK,Leicester City,25-295,1997,9,9,810,9.0,0,0,0,0,0,0,0,0,10d221cd
235,Alex Iwobi,ng NGA,MFFW,Everton,27-007,1996,35,35,3108,34.5,2,7,9,2,0,0,2,0,6ca5ec4b
236,Daniel James,wls WAL,FW,Leeds United,25-181,1997,4,2,198,2.2,0,0,0,0,0,0,0,0,c931d9f9
237,Daniel James,wls WAL,FW,Fulham,25-181,1997,19,5,610,6.8,2,1,3,2,0,0,0,0,c931d9f9
238,Reece James,eng ENG,DFMF,Chelsea,23-153,1999,16,14,1244,13.8,1,1,2,1,0,0,4,0,1265a93a
239,Vitaly Janelt,de GER,MFDF,Brentford,25-000,1998,32,21,1938,21.5,3,1,4,3,0,0,2,0,8449d35e
240,Pontus Jansson,se SWE,DF,Brentford,32-086,1991,12,9,724,8.0,1,0,1,1,0,0,0,0,172e52d8
241,Mathias Jensen,dk DEN,MF,Brentford,27-129,1996,35,35,2663,29.6,5,5,10,5,0,0,5,0,0f134faf
242,Gabriel Jesus,br BRA,FW,Arsenal,26-037,1997,23,21,1808,20.1,10,5,15,9,1,1,5,0,b66315ae
243,Raúl Jiménez,mx MEX,FW,Wolves,32-005,1991,13,7,743,8.3,0,1,1,0,0,0,0,0,b561db50
244,Joelinton,br BRA,MFFW,Newcastle Utd,26-269,1996,30,28,2482,27.6,6,1,7,6,0,0,12,0,c17bfb65
245,Ben Johnson,eng ENG,DF,West Ham,23-106,2000,15,8,775,8.6,0,0,0,0,0,0,0,0,9319781b
246,Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21-352,2001,35,32,2822,31.4,8,3,11,7,1,3,6,0,0cd31129
247,Sam Johnstone,eng ENG,GK,Crystal Palace,30-046,1993,6,6,540,6.0,0,0,0,0,0,0,1,0,9e5708be
248,Curtis Jones,eng ENG,MF,Liverpool,22-100,2001,15,9,834,9.3,1,1,2,1,0,0,2,0,4fb9c88f
249,Jorginho,it ITA,MF,Arsenal,31-141,1991,11,6,616,6.8,0,1,1,0,0,0,0,0,45db685d
250,Jorginho,it ITA,MF,Chelsea,31-141,1991,18,15,1279,14.2,2,0,2,0,2,2,4,0,45db685d
251,Mateo Joseph,eng ENG,FWMF,Leeds United,19-203,2003,3,0,26,0.3,0,0,0,0,0,0,0,0,6ad43f9a
252,Diogo Jota,pt POR,FW,Liverpool,26-157,1996,19,11,996,11.1,5,4,9,5,0,0,2,0,178ae8f8
253,Hamed Junior Traorè,ci CIV,FWMF,Bournemouth,23-083,2000,7,5,427,4.7,0,0,0,0,0,0,0,0,570bb4b9
254,James Justin,eng ENG,DF,Leicester City,25-076,1998,14,14,1252,13.9,0,0,0,0,0,0,0,0,fb614c44
255,Mathias Jørgensen,dk DEN,DF,Brentford,33-017,1990,16,10,1000,11.1,0,0,0,0,0,0,1,0,0db5d2c8
256,Sasa Kalajdzic,at AUT,FW,Wolves,25-307,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,15f24fe7
257,Boubacar Kamara,fr FRA,MF,Aston Villa,23-168,1999,21,19,1574,17.5,0,1,1,0,0,0,4,0,cc77354e
258,Harry Kane,eng ENG,FW,Tottenham,29-286,1993,35,35,3135,34.8,26,3,29,22,4,5,5,0,21a66f6a
259,N'Golo Kanté,fr FRA,MF,Chelsea,32-042,1991,7,6,518,5.8,0,1,1,0,0,0,1,0,b9fbae28
260,Michael Keane,eng ENG,DF,Everton,30-119,1993,11,10,923,10.3,1,1,2,1,0,0,0,0,c5b7c315
261,Neeskens Kebano,cd COD,FW,Fulham,31-061,1992,16,9,751,8.3,0,3,3,0,0,0,0,0,18b999f4
262,Thilo Kehrer,de GER,DF,West Ham,26-231,1996,25,24,2095,23.3,0,2,2,0,0,0,4,0,51dbeea9
263,Naby Keïta,gn GUI,MF,Liverpool,28-089,1995,8,3,293,3.3,0,0,0,0,0,0,1,0,f25c8e3a
264,Lloyd Kelly,eng ENG,DF,Bournemouth,24-216,1998,20,20,1770,19.7,0,2,2,0,0,0,3,0,f31def1e
265,Max Kilman,eng ENG,DF,Wolves,25-352,1997,35,35,3150,35.0,0,0,0,0,0,0,3,0,d0f72bf1
266,Jakub Kiwior,pl POL,DF,Arsenal,23-084,2000,4,2,196,2.2,0,0,0,0,0,0,0,0,dc3e663e
267,Mateusz Klich,pl POL,MFFW,Leeds United,32-331,1990,14,0,280,3.1,0,0,0,0,0,0,2,0,282679b4
268,Robin Koch,de GER,DF,Leeds United,26-297,1996,33,33,2905,32.3,0,0,0,0,0,0,6,0,ea6bc03a
269,Ibrahima Konaté,fr FRA,DF,Liverpool,23-350,1999,16,15,1372,15.2,0,0,0,0,0,0,3,0,5ed9b537
270,Ezri Konsa,eng ENG,DF,Aston Villa,25-199,1997,35,34,3052,33.9,0,0,0,0,0,0,5,0,0313a347
271,Kalidou Koulibaly,sn SEN,DF,Chelsea,31-324,1991,22,20,1790,19.9,2,1,3,2,0,0,7,1,da974c7b
272,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33-140,1989,18,10,839,9.3,1,0,1,1,0,0,3,0,8d3c902d
273,Mateo Kovačić,hr CRO,MF,Chelsea,29-004,1994,25,16,1642,18.2,1,2,3,1,0,0,8,0,79c0821a
274,Emil Krafth,se SWE,DF,Newcastle Utd,28-281,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,77cf6852
275,Dejan Kulusevski,se SWE,MFFW,Tottenham,23-015,2000,27,21,1898,21.1,2,6,8,2,0,0,2,0,df3cda47
276,Layvin Kurzawa,fr FRA,DF,Fulham,30-248,1992,3,2,135,1.5,0,0,0,0,0,0,1,0,41e7ef1c
277,Adam Lallana,eng ENG,MFFW,Brighton,35-000,1988,16,12,722,8.0,2,1,3,2,0,0,0,0,99813635
278,Tariq Lamptey,gh GHA,DF,Brighton,22-222,2000,20,3,453,5.0,0,0,0,0,0,0,1,0,f4e433d4
279,Manuel Lanzini,ar ARG,MFFW,West Ham,30-084,1993,7,1,150,1.7,0,0,0,0,0,0,0,0,26f6dca8
280,Aymeric Laporte,es ESP,DF,Manchester City,28-348,1994,9,8,736,8.2,0,0,0,0,0,0,0,0,119b9a8e
281,Juan Larios,es ESP,DF,Southampton,19-118,2004,5,2,152,1.7,0,0,0,0,0,0,0,0,cf7fb13a
282,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-180,1993,7,2,218,2.4,0,0,0,0,0,0,4,0,450ab6fc
283,Roméo Lavia,be BEL,MF,Southampton,19-124,2004,26,23,1986,22.1,1,0,1,1,0,0,8,0,ecad9aa5
284,Dexter Lembikisa,jm JAM,DF,Wolves,19-187,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0bdda685
285,Mario Lemina,ga GAB,MF,Wolves,29-251,1993,16,15,1118,12.4,0,1,1,0,0,0,4,1,2b471f99
286,Clément Lenglet,fr FRA,DF,Tottenham,27-327,1995,23,21,1749,19.4,0,2,2,0,0,0,4,0,4f28a6ff
287,Bernd Leno,de GER,GK,Fulham,31-067,1992,33,33,2970,33.0,0,0,0,0,0,0,3,0,2628fd2b
288,Jefferson Lerma,co COL,MF,Bournemouth,28-197,1994,34,34,2982,33.1,5,0,5,5,0,0,6,0,9b5ce51a
289,Jamal Lewis,nir NIR,DF,Newcastle Utd,25-105,1998,1,0,8,0.1,0,0,0,0,0,0,0,0,efb9215a
290,Rico Lewis,eng ENG,DFMF,Manchester City,18-170,2004,11,7,633,7.0,0,0,0,0,0,0,1,0,b57e066e
291,Keane Lewis-Potter,eng ENG,FWMF,Brentford,22-077,2001,10,3,321,3.6,0,1,1,0,0,0,0,0,41f08ac8
292,Victor Lindelöf,se SWE,DF,Manchester Utd,28-297,1994,16,10,1005,11.2,0,0,0,0,0,0,1,0,f5deef4c
293,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,30-146,1992,17,12,923,10.3,0,0,0,0,0,0,1,0,810e3c74
294,Diego Llorente,es ESP,DF,Leeds United,29-267,1993,8,7,649,7.2,0,0,0,0,0,0,1,0,bba30585
295,Hugo Lloris,fr FRA,GK,Tottenham,36-135,1986,25,25,2205,24.5,0,0,0,0,0,0,0,0,8f62b6ee
296,Renan Lodi,br BRA,DF,Nott'ham Forest,25-032,1998,25,23,1989,22.1,0,0,0,0,0,0,6,0,ed9f7cfe
297,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,27-107,1996,21,17,1342,14.9,0,0,0,0,0,0,1,0,e97fd090
298,Sean Longstaff,eng ENG,MF,Newcastle Utd,25-192,1997,32,27,2428,27.0,1,4,5,1,0,0,2,0,a2b105e0
299,Jamal Lowe,jm JAM,MFFW,Bournemouth,28-293,1994,2,0,12,0.1,0,0,0,0,0,0,0,0,b2856bc0
300,Douglas Luiz,br BRA,MF,Aston Villa,25-001,1998,34,30,2661,29.6,4,5,9,4,0,0,6,1,6f7d826d
301,Saša Lukić,rs SRB,MF,Fulham,26-270,1996,10,3,333,3.7,0,0,0,0,0,0,1,0,c6e8cf1f
302,Lyanco,br BRA,DF,Southampton,26-098,1997,18,8,910,10.1,1,0,1,1,0,0,4,0,b5bf1770
303,Alexis Mac Allister,ar ARG,MF,Brighton,24-137,1998,30,28,2542,28.2,10,1,11,4,6,6,7,0,83d074ff
304,James Maddison,eng ENG,MFFW,Leicester City,26-168,1996,27,26,2255,25.1,10,9,19,9,1,2,10,0,ee38d9c5
305,Noni Madueke,eng ENG,FW,Chelsea,21-061,2002,8,4,381,4.2,1,0,1,1,0,0,0,0,bf34eebd
306,Harry Maguire,eng ENG,DF,Manchester Utd,30-066,1993,14,7,667,7.4,0,0,0,0,0,0,4,0,d8931174
307,Riyad Mahrez,dz ALG,FWMF,Manchester City,32-078,1991,26,18,1577,17.5,5,9,14,4,1,1,2,0,892d5bb1
308,Kobbie Mainoo,eng ENG,MF,Manchester Utd,18-021,2005,1,0,11,0.1,0,0,0,0,0,0,0,0,c6220452
309,Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,25-254,1997,21,12,1326,14.7,0,0,0,0,0,0,3,0,e3a5814e
310,Tyrell Malacia,nl NED,DF,Manchester Utd,23-266,1999,20,13,1261,14.0,0,0,0,0,0,0,5,0,6b6c793c
311,Orel Mangala,be BEL,MF,Nott'ham Forest,25-053,1998,24,17,1299,14.4,1,0,1,1,0,0,3,0,a572e291
312,Javier Manquillo,es ESP,DF,Newcastle Utd,29-005,1994,3,0,36,0.4,0,0,0,0,0,0,0,0,758dd7f0
313,Sekou Mara,fr FRA,FWMF,Southampton,20-284,2002,21,4,526,5.8,1,2,3,1,0,0,1,0,3544641e
314,Solly March,eng ENG,FWDF,Brighton,28-294,1994,33,31,2715,30.2,7,7,14,7,0,0,2,0,bb5fbd2b
315,Emiliano Marcondes,dk DEN,MF,Bournemouth,28-062,1995,1,0,9,0.1,0,0,0,0,0,0,0,0,4d960fc3
316,Marquinhos,br BRA,MF,Arsenal,20-033,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,59878425
317,Anthony Martial,fr FRA,FW,Manchester Utd,27-156,1995,17,8,761,8.5,4,2,6,3,1,1,0,0,8b788c01
318,Martinelli,br BRA,FW,Arsenal,21-326,2001,35,33,2770,30.8,15,5,20,15,0,0,3,0,48a5a5d6
319,Emiliano Martínez,ar ARG,GK,Aston Villa,30-250,1992,33,33,2869,31.9,0,0,0,0,0,0,6,0,7956236f
320,Lisandro Martínez,ar ARG,DF,Manchester Utd,25-112,1998,27,24,2114,23.5,1,0,1,1,0,0,6,0,bac46a10
321,Pape Matar Sarr,sn SEN,MF,Tottenham,20-238,2002,10,2,194,2.2,0,0,0,0,0,0,1,0,feb5d972
322,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-316,1997,27,6,735,8.2,2,0,2,2,0,0,3,0,50e6dc35
323,Joël Matip,cm CMR,DF,Liverpool,31-275,1991,13,11,1002,11.1,1,0,1,1,0,0,3,0,b217ef29
324,Neal Maupay,fr FRA,FW,Everton,26-269,1996,25,11,1064,11.8,1,0,1,1,0,0,4,0,4bcf39f6
325,Kevin Mbabu,ch SUI,DFFW,Fulham,28-021,1995,6,1,144,1.6,0,1,1,0,0,0,1,0,493924a7
326,Bryan Mbeumo,cm CMR,FW,Brentford,23-276,1999,35,33,2638,29.3,6,6,12,5,1,1,5,0,6afaebf2
327,James McArthur,sct SCO,MF,Crystal Palace,35-215,1987,2,0,21,0.2,0,0,0,0,0,0,0,0,cee31595
328,Alex McCarthy,eng ENG,GK,Southampton,33-158,1989,3,3,270,3.0,0,0,0,0,0,0,0,0,36c2ca73
329,John McGinn,sct SCO,MFFW,Aston Villa,28-204,1994,31,27,2423,26.9,1,3,4,1,0,0,5,0,90f91999
330,Scott McKenna,sct SCO,DF,Nott'ham Forest,26-179,1996,20,19,1571,17.5,0,0,0,0,0,0,4,0,4e5a4cbc
331,Weston McKennie,us USA,MF,Leeds United,24-255,1998,16,13,1205,13.4,0,0,0,0,0,0,7,0,01c3aff5
332,Dwight McNeil,eng ENG,FWMF,Everton,23-169,1999,33,25,2228,24.8,7,3,10,7,0,0,5,0,fc15fb84
333,Scott McTominay,sct SCO,MF,Manchester Utd,26-153,1996,21,10,1126,12.5,1,0,1,1,0,0,7,0,d93c2511
334,Ben Mee,eng ENG,DF,Brentford,33-231,1989,34,34,2999,33.3,3,0,3,3,0,0,2,0,8df7a2fb
335,Edouard Mendy,sn SEN,GK,Chelsea,31-070,1992,9,8,765,8.5,0,0,0,0,0,0,1,0,33887998
336,Nampalys Mendy,sn SEN,MF,Leicester City,30-321,1992,17,7,735,8.2,1,0,1,1,0,0,1,0,1598599e
337,Chris Mepham,wls WAL,DF,Bournemouth,25-186,1997,25,23,2109,23.4,0,0,0,0,0,0,7,0,fed96827
338,Illan Meslier,fr FRA,GK,Leeds United,23-069,2000,34,34,3060,34.0,0,0,0,0,0,0,3,0,6b625ac2
339,Alexander Mighten,eng ENG,FW,Nott'ham Forest,21-029,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,10ec4169
340,Luka Milivojević,rs SRB,MF,Crystal Palace,32-033,1991,18,5,512,5.7,0,0,0,0,0,0,2,0,2ce2508a
341,James Milner,eng ENG,MFDF,Liverpool,37-126,1986,28,6,787,8.7,0,1,1,0,0,0,2,0,2f90f6b8
342,Yerry Mina,co COL,DF,Everton,28-229,1994,4,4,324,3.6,1,0,1,1,0,0,2,0,6d5701f2
343,Tyrone Mings,eng ENG,DF,Aston Villa,30-058,1993,32,32,2880,32.0,1,2,3,1,0,0,5,0,8397a50c
344,Tyrick Mitchell,eng ENG,DF,Crystal Palace,23-251,1999,33,31,2621,29.1,0,2,2,0,0,0,5,1,5cbd1eb0
345,Kaoru Mitoma,jp JPN,FW,Brighton,25-355,1997,28,20,1934,21.5,7,4,11,7,0,0,0,0,74618572
346,Aleksandar Mitrović,rs SRB,FW,Fulham,28-236,1994,21,21,1813,20.1,11,1,12,8,3,6,6,0,3925dbd6
347,Kieffer Moore,wls WAL,FW,Bournemouth,30-275,1992,24,12,1187,13.2,4,0,4,4,0,0,1,0,01ce9e70
348,Andrew Moran,ie IRL,FW,Brighton,19-207,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,c4720845
349,Álex Moreno,es ESP,DF,Aston Villa,29-336,1993,17,13,1227,13.6,0,3,3,0,0,0,3,0,16e9d0ea
350,Mason Mount,eng ENG,MFFW,Chelsea,24-120,1999,24,20,1648,18.3,3,2,5,3,0,0,4,0,9674002f
351,Lucas Moura,br BRA,MFDF,Tottenham,30-270,1992,13,0,127,1.4,0,0,0,0,0,0,0,1,2b622f01
352,João Moutinho,pt POR,MF,Wolves,36-244,1986,31,20,1780,19.8,0,2,2,0,0,0,3,0,f5a00fa4
353,Divin Mubama,eng ENG,FW,West Ham,18-197,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,92868cb5
354,Mykhailo Mudryk,ua UKR,FW,Chelsea,22-125,2001,13,6,572,6.4,0,2,2,0,0,0,1,0,049a888d
355,Jacob Murphy,eng ENG,FW,Newcastle Utd,28-075,1995,34,14,1215,13.5,4,2,6,4,0,0,0,0,de112b84
356,Enock Mwepu,zm ZAM,FWMF,Brighton,25-129,1998,6,2,213,2.4,0,1,1,0,0,0,0,0,1d5cab82
357,Vitaliy Mykolenko,ua UKR,DF,Everton,23-346,1999,34,30,2655,29.5,0,0,0,0,0,0,4,0,30d4a2e5
358,Keylor Navas,cr CRC,GK,Nott'ham Forest,36-146,1986,15,15,1350,15.0,0,0,0,0,0,0,2,0,ecada4fc
359,Wilfred Ndidi,ng NGA,MFDF,Leicester City,26-145,1996,25,17,1531,17.0,0,0,0,0,0,0,4,0,6b47c5db
360,Reiss Nelson,eng ENG,FW,Arsenal,23-151,1999,9,0,150,1.7,3,2,5,3,0,0,0,0,c5bdb6e3
361,Neto,br BRA,GK,Bournemouth,33-295,1989,25,25,2205,24.5,0,0,0,0,0,0,4,0,a9dc785c
362,Pedro Neto,pt POR,FWMF,Wolves,23-062,2000,17,12,919,10.2,0,0,0,0,0,0,1,0,7ba2eaa9
363,Rúben Neves,pt POR,MF,Wolves,26-058,1997,32,31,2797,31.1,6,1,7,3,3,3,11,0,44bfb6c5
364,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27-063,1996,11,11,893,9.9,0,0,0,0,0,0,0,0,00242715
365,Rasmus Nissen,dk DEN,DF,Leeds United,25-303,1997,23,18,1690,18.8,2,1,3,2,0,0,4,0,39769cff
366,Eddie Nketiah,eng ENG,FW,Arsenal,23-345,1999,27,9,1036,11.5,4,1,5,4,0,0,3,0,a53649b7
367,Matheus Nunes,pt POR,MF,Wolves,24-256,1998,31,28,2311,25.7,1,1,2,1,0,0,1,1,e6af02e0
368,Darwin Núñez,uy URU,FW,Liverpool,23-320,1999,29,19,1695,18.8,9,3,12,9,0,0,1,1,4d77b365
369,Ethan Nwaneri,eng ENG,FW,Arsenal,16-050,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,7f94982c
370,Christian Nørgaard,dk DEN,MF,Brentford,29-061,1994,22,21,1763,19.6,1,3,4,1,0,0,6,0,df0a4c90
371,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,24-208,1998,13,6,584,6.5,1,0,1,1,0,0,2,0,089667a5
