Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
185,Alejandro Garnacho,es ESP,FWMF,Manchester Utd,18-313,2004,5.0,3,1,0,0,3,7,5,0,5,4,7,2,0,7aa8adfe
186,James Garner,eng ENG,MF,Everton,22-058,2001,6.1,12,10,2,7,3,8,6,0,6,10,22,6,0,4e015693
187,David de Gea,es ESP,GK,Manchester Utd,32-184,1990,34.0,0,0,0,0,0,0,0,0,0,0,0,15,3,7ba6d84e
188,Joe Gelhardt,eng ENG,FW,Leeds United,21-006,2002,2.4,6,2,1,3,2,2,5,0,5,0,6,4,0,01962d0d
189,Saman Ghoddos,ir IRN,MFDF,Brentford,29-246,1993,1.5,2,1,0,1,1,2,4,1,3,4,6,2,0,f7b1d4e0
190,Morgan Gibbs-White,eng ENG,FWMF,Wolves,23-103,2000,2.0,3,1,3,0,0,1,2,0,2,1,4,3,0,32f60ed8
191,Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,23-103,2000,30.0,23,11,7,5,11,21,22,4,18,13,36,13,0,32f60ed8
192,Billy Gilmour,sct SCO,MF,Brighton,21-333,2001,3.8,3,1,1,2,0,6,3,1,2,3,6,3,0,df10e27c
193,Degnand Gnonto,it ITA,FWMF,Leeds United,19-186,2003,14.1,23,15,6,12,5,19,22,1,21,5,28,7,0,75fdd638
194,Ben Godfrey,eng ENG,DF,Everton,25-115,1998,8.9,20,11,13,5,2,18,12,6,6,8,28,33,1,9f7c837d
195,João Gomes,br BRA,MF,Wolves,22-087,2001,5.3,24,11,11,12,1,7,12,3,9,4,28,10,0,8b57ad2c
196,Toti Gomes,pt POR,DF,Wolves,24-114,1999,9.0,13,8,10,3,0,3,16,8,8,9,22,43,0,f0caab96
197,Joe Gomez,eng ENG,DF,Liverpool,25-352,1997,15.3,28,21,15,11,2,8,16,11,5,22,50,50,2,7a11550b
198,Sergio Gómez,es ESP,DFMF,Manchester City,22-248,2000,1.9,5,2,3,1,1,2,5,3,2,2,7,5,0,01e5f06e
199,Anthony Gordon,eng ENG,FWMF,Newcastle Utd,22-075,2001,4.4,12,10,4,6,2,10,8,0,8,2,14,0,1,2bd83368
200,Anthony Gordon,eng ENG,FW,Everton,22-075,2001,12.2,34,22,17,10,7,15,19,0,19,4,38,11,0,2bd83368
201,Demarai Gray,eng ENG,FWMF,Everton,26-316,1996,26.2,29,21,7,13,9,13,21,3,18,11,40,18,0,4468ec10
202,Jack Grealish,eng ENG,FW,Manchester City,27-242,1995,22.7,25,16,10,12,3,9,17,3,14,7,32,8,0,b0b4fd3e
203,Sam Greenwood,eng ENG,MFFW,Leeds United,21-104,2002,4.1,11,7,7,4,0,11,9,2,7,1,12,1,0,f3354c07
204,Pascal Groß,de GER,MFDF,Brighton,31-329,1991,31.2,51,33,19,26,6,27,26,8,18,13,64,16,1,8aec0537
205,Vicente Guaita,es ESP,GK,Crystal Palace,36-120,1987,27.0,0,0,0,0,0,0,0,0,0,0,0,9,1,ab13a5aa
206,Gonçalo Guedes,pt POR,FWMF,Wolves,26-162,1996,7.9,8,6,4,3,1,3,4,0,4,1,9,2,0,e6bc67d7
207,Marc Guéhi,eng ENG,DF,Crystal Palace,22-301,2000,34.0,48,25,36,11,1,16,43,23,20,43,91,127,3,d0706b27
208,Bruno Guimarães,br BRA,MF,Newcastle Utd,25-175,1997,26.3,68,33,24,39,5,25,25,4,21,27,95,17,1,82518f62
209,İlkay Gündoğan,de GER,MF,Manchester City,32-198,1990,24.3,27,17,6,11,10,19,17,3,14,19,46,13,0,819b3158
210,Darko Gyabi,eng ENG,FW,Leeds United,19-081,2004,0.1,2,2,1,1,0,0,2,0,2,0,2,0,0,56d838f7
211,Erling Haaland,no NOR,FW,Manchester City,22-293,2000,28.7,3,2,0,2,1,4,12,4,8,3,6,13,0,1f44ac21
212,Lewis Hall,eng ENG,DFMF,Chelsea,18-244,2004,3.4,11,3,10,1,0,4,4,0,4,10,21,5,1,da011f18
213,Luke Harris,wls WAL,MFFW,Fulham,18-037,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,8c3078cd
214,Jack Harrison,eng ENG,FWMF,Leeds United,26-171,1996,27.7,40,17,5,15,20,37,42,2,40,21,61,25,0,aa849a12
215,Kai Havertz,de GER,FWMF,Chelsea,23-333,1999,26.1,33,15,4,19,10,19,28,0,28,7,40,39,0,fed7cb61
216,Jan Paul van Hecke,nl NED,DF,Brighton,22-336,2000,1.0,2,1,1,1,0,0,0,0,0,4,6,3,0,4fd08daa
217,Hwang Hee-chan,kr KOR,FWMF,Wolves,27-104,1996,10.5,20,9,7,8,5,12,15,1,14,4,24,5,0,169fd162
218,Dean Henderson,eng ENG,GK,Nott'ham Forest,26-059,1997,18.0,0,0,0,0,0,0,0,0,0,0,0,12,1,e5a76dfe
219,Jordan Henderson,eng ENG,MF,Liverpool,32-327,1990,21.1,29,21,10,15,4,18,20,3,17,20,49,16,0,935e6b8f
220,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,36-106,1987,2.0,1,0,1,0,0,0,0,0,0,0,1,1,0,76eca7e2
221,Rico Henry,eng ENG,DF,Brentford,25-306,1997,33.0,54,29,19,27,8,18,26,7,19,28,82,75,1,8a3c1dc7
222,Son Heung-min,kr KOR,MFFW,Tottenham,30-306,1992,29.3,22,11,7,8,7,19,23,2,21,12,34,5,0,92e7e919
223,Aaron Hickey,sct SCO,DF,Brentford,20-334,2002,18.6,37,25,26,11,0,13,14,7,7,17,54,27,1,1780bb4a
224,Joseph Hodge,ie IRL,MF,Wolves,20-238,2002,1.9,5,2,1,3,1,1,5,0,5,0,5,2,1,bd8a5d95
225,Rob Holding,eng ENG,DF,Arsenal,27-232,1995,6.3,8,5,4,4,0,3,6,5,1,3,11,27,1,d79a8c87
226,Mason Holgate,eng ENG,DF,Everton,26-200,1996,4.9,11,7,8,3,0,6,7,3,4,7,18,26,0,d0042ab9
227,Will Hughes,eng ENG,MF,Crystal Palace,28-023,1995,6.5,22,12,10,11,1,7,10,5,5,10,32,4,0,a0666d3e
228,Omari Hutchinson,eng ENG,FW,Chelsea,19-192,2003,0.3,0,0,0,0,0,0,0,0,0,1,1,0,0,bd9553e6
229,Pierre Højbjerg,dk DEN,MF,Tottenham,27-278,1995,33.8,53,29,26,22,5,40,46,17,29,46,99,63,1,8b04d6c1
230,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,26-219,1996,11.2,7,2,0,3,4,6,6,1,5,0,7,8,0,c92e1a31
231,Danny Ings,eng ENG,FW,West Ham,30-291,1992,6.4,5,4,0,3,2,7,5,2,3,3,8,5,0,07802f7f
232,Danny Ings,eng ENG,FW,Aston Villa,30-291,1992,9.2,10,5,1,6,3,5,12,1,11,1,11,11,0,07802f7f
233,Alexander Isak,se SWE,FW,Newcastle Utd,23-231,1999,13.0,13,6,2,6,5,14,17,1,16,3,16,7,0,8e92be30
234,Daniel Iversen,dk DEN,GK,Leicester City,25-295,1997,9.0,0,0,0,0,0,0,0,0,0,0,0,5,0,10d221cd
235,Alex Iwobi,ng NGA,MFFW,Everton,27-007,1996,34.5,67,37,37,27,3,30,37,2,35,21,88,27,0,6ca5ec4b
236,Daniel James,wls WAL,FW,Leeds United,25-181,1997,2.2,6,2,1,3,2,3,4,0,4,2,8,2,0,c931d9f9
237,Daniel James,wls WAL,FW,Fulham,25-181,1997,6.8,9,5,4,4,1,4,5,1,4,1,10,5,0,c931d9f9
238,Reece James,eng ENG,DFMF,Chelsea,23-153,1999,13.8,31,20,10,18,3,4,17,2,15,12,43,23,0,1265a93a
239,Vitaly Janelt,de GER,MFDF,Brentford,25-000,1998,21.5,49,25,20,21,8,25,24,9,15,26,75,24,0,8449d35e
240,Pontus Jansson,se SWE,DF,Brentford,32-086,1991,8.0,5,3,4,1,0,2,13,9,4,9,14,38,0,172e52d8
241,Mathias Jensen,dk DEN,MF,Brentford,27-129,1996,29.6,68,33,27,29,12,62,51,5,46,32,100,24,1,0f134faf
242,Gabriel Jesus,br BRA,FW,Arsenal,26-037,1997,20.1,28,22,14,7,7,13,22,2,20,10,38,11,1,b66315ae
243,Raúl Jiménez,mx MEX,FW,Wolves,32-005,1991,8.3,9,6,3,5,1,2,9,0,9,0,9,8,0,b561db50
244,Joelinton,br BRA,MFFW,Newcastle Utd,26-269,1996,27.6,67,46,35,24,8,34,50,6,44,42,109,38,0,c17bfb65
245,Ben Johnson,eng ENG,DF,West Ham,23-106,2000,8.6,20,14,12,4,4,6,11,4,7,8,28,25,1,9319781b
246,Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21-352,2001,31.4,33,19,17,8,8,20,28,1,27,4,37,7,1,0cd31129
247,Sam Johnstone,eng ENG,GK,Crystal Palace,30-046,1993,6.0,0,0,0,0,0,0,0,0,0,0,0,5,0,9e5708be
248,Curtis Jones,eng ENG,MF,Liverpool,22-100,2001,9.3,26,12,6,9,11,10,8,1,7,3,29,8,0,4fb9c88f
249,Jorginho,it ITA,MF,Arsenal,31-141,1991,6.8,11,6,4,6,1,13,5,2,3,8,19,6,0,45db685d
250,Jorginho,it ITA,MF,Chelsea,31-141,1991,14.2,42,23,22,14,6,24,18,3,15,21,63,7,0,45db685d
251,Mateo Joseph,eng ENG,FWMF,Leeds United,19-203,2003,0.3,0,0,0,0,0,0,1,0,1,0,0,1,0,6ad43f9a
252,Diogo Jota,pt POR,FW,Liverpool,26-157,1996,11.1,20,12,8,8,4,24,4,0,4,3,23,11,0,178ae8f8
253,Hamed Junior Traorè,ci CIV,FWMF,Bournemouth,23-083,2000,4.7,17,11,5,9,3,12,9,0,9,2,19,1,0,570bb4b9
254,James Justin,eng ENG,DF,Leicester City,25-076,1998,13.9,20,18,7,12,1,5,24,6,18,15,35,47,0,fb614c44
255,Mathias Jørgensen,dk DEN,DF,Brentford,33-017,1990,11.1,15,7,8,7,0,9,19,12,7,14,29,35,1,0db5d2c8
256,Sasa Kalajdzic,at AUT,FW,Wolves,25-307,1997,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,15f24fe7
257,Boubacar Kamara,fr FRA,MF,Aston Villa,23-168,1999,17.5,49,23,21,20,8,26,35,11,24,17,66,24,2,cc77354e
258,Harry Kane,eng ENG,FW,Tottenham,29-286,1993,34.8,14,11,1,5,8,10,24,6,18,2,16,15,0,21a66f6a
259,N'Golo Kanté,fr FRA,MF,Chelsea,32-042,1991,5.8,16,10,4,10,2,4,11,0,11,6,22,2,0,b9fbae28
260,Michael Keane,eng ENG,DF,Everton,30-119,1993,10.3,7,4,5,2,0,3,12,7,5,13,20,54,1,c5b7c315
261,Neeskens Kebano,cd COD,FW,Fulham,31-061,1992,8.3,15,7,7,5,3,8,13,0,13,1,16,8,0,18b999f4
262,Thilo Kehrer,de GER,DF,West Ham,26-231,1996,23.3,41,24,24,13,4,21,15,6,9,32,73,69,1,51dbeea9
263,Naby Keïta,gn GUI,MF,Liverpool,28-089,1995,3.3,5,4,2,3,0,3,1,0,1,2,7,3,0,f25c8e3a
264,Lloyd Kelly,eng ENG,DF,Bournemouth,24-216,1998,19.7,26,16,18,7,1,5,20,12,8,20,46,86,1,f31def1e
265,Max Kilman,eng ENG,DF,Wolves,25-352,1997,35.0,35,19,25,9,1,13,67,42,25,19,54,160,0,d0f72bf1
266,Jakub Kiwior,pl POL,DF,Arsenal,23-084,2000,2.2,4,2,4,0,0,0,3,2,1,4,8,8,0,dc3e663e
267,Mateusz Klich,pl POL,MFFW,Leeds United,32-331,1990,3.1,12,8,3,4,5,6,4,0,4,0,12,1,0,282679b4
268,Robin Koch,de GER,DF,Leeds United,26-297,1996,32.3,46,28,30,13,3,26,39,18,21,42,88,145,1,ea6bc03a
269,Ibrahima Konaté,fr FRA,DF,Liverpool,23-350,1999,15.2,33,21,21,12,0,11,11,5,6,23,56,56,3,5ed9b537
270,Ezri Konsa,eng ENG,DF,Aston Villa,25-199,1997,33.9,39,17,23,14,2,8,36,20,16,21,60,115,3,0313a347
271,Kalidou Koulibaly,sn SEN,DF,Chelsea,31-324,1991,19.9,43,29,32,8,3,14,29,12,17,29,72,76,0,da974c7b
272,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33-140,1989,9.3,25,18,15,8,2,3,14,2,12,9,34,23,0,8d3c902d
273,Mateo Kovačić,hr CRO,MF,Chelsea,29-004,1994,18.2,35,23,16,14,5,21,9,1,8,19,54,16,0,79c0821a
274,Emil Krafth,se SWE,DF,Newcastle Utd,28-281,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,77cf6852
275,Dejan Kulusevski,se SWE,MFFW,Tottenham,23-015,2000,21.1,37,15,23,7,7,27,16,0,16,12,49,7,0,df3cda47
276,Layvin Kurzawa,fr FRA,DF,Fulham,30-248,1992,1.5,3,2,1,1,1,0,1,1,0,2,5,4,0,41e7ef1c
277,Adam Lallana,eng ENG,MFFW,Brighton,35-000,1988,8.0,9,4,6,2,1,7,6,0,6,2,11,1,0,99813635
278,Tariq Lamptey,gh GHA,DF,Brighton,22-222,2000,5.0,11,6,6,4,1,2,7,3,4,7,18,2,0,f4e433d4
279,Manuel Lanzini,ar ARG,MFFW,West Ham,30-084,1993,1.7,0,0,0,0,0,2,1,0,1,1,1,0,0,26f6dca8
280,Aymeric Laporte,es ESP,DF,Manchester City,28-348,1994,8.2,6,4,4,1,1,3,9,3,6,2,8,19,1,119b9a8e
281,Juan Larios,es ESP,DF,Southampton,19-118,2004,1.7,7,6,6,1,0,0,2,0,2,3,10,4,0,cf7fb13a
282,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-180,1993,2.4,1,0,1,0,0,0,3,2,1,0,1,17,0,450ab6fc
283,Roméo Lavia,be BEL,MF,Southampton,19-124,2004,22.1,53,30,25,24,4,27,39,9,30,29,82,19,0,ecad9aa5
284,Dexter Lembikisa,jm JAM,DF,Wolves,19-187,2003,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0bdda685
285,Mario Lemina,ga GAB,MF,Wolves,29-251,1993,12.4,35,22,20,13,2,14,20,5,15,14,49,21,1,2b471f99
286,Clément Lenglet,fr FRA,DF,Tottenham,27-327,1995,19.4,32,21,16,12,4,17,23,8,15,17,49,45,2,4f28a6ff
287,Bernd Leno,de GER,GK,Fulham,31-067,1992,33.0,0,0,0,0,0,2,0,0,0,0,0,15,0,2628fd2b
288,Jefferson Lerma,co COL,MF,Bournemouth,28-197,1994,33.1,44,26,22,18,4,21,31,15,16,41,85,86,1,9b5ce51a
289,Jamal Lewis,nir NIR,DF,Newcastle Utd,25-105,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,efb9215a
290,Rico Lewis,eng ENG,DFMF,Manchester City,18-170,2004,7.0,14,9,7,5,2,4,5,2,3,3,17,8,0,b57e066e
291,Keane Lewis-Potter,eng ENG,FWMF,Brentford,22-077,2001,3.6,1,0,0,1,0,0,5,1,4,0,1,2,0,41f08ac8
292,Victor Lindelöf,se SWE,DF,Manchester Utd,28-297,1994,11.2,12,10,5,6,1,5,14,7,7,17,29,50,1,f5deef4c
293,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,30-146,1992,10.3,4,4,2,2,0,6,11,0,11,5,9,4,0,810e3c74
294,Diego Llorente,es ESP,DF,Leeds United,29-267,1993,7.2,13,10,8,5,0,4,6,2,4,15,28,24,2,bba30585
295,Hugo Lloris,fr FRA,GK,Tottenham,36-135,1986,24.5,1,1,1,0,0,2,0,0,0,1,2,13,4,8f62b6ee
296,Renan Lodi,br BRA,DF,Nott'ham Forest,25-032,1998,22.1,45,35,32,8,5,26,25,6,19,28,73,69,0,ed9f7cfe
297,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,27-107,1996,14.9,24,14,8,13,3,9,13,2,11,11,35,21,0,e97fd090
298,Sean Longstaff,eng ENG,MF,Newcastle Utd,25-192,1997,27.0,42,21,16,20,6,32,35,8,27,16,58,23,0,a2b105e0
299,Jamal Lowe,jm JAM,MFFW,Bournemouth,28-293,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,b2856bc0
300,Douglas Luiz,br BRA,MF,Aston Villa,25-001,1998,29.6,68,38,29,30,9,31,33,7,26,39,107,21,1,6f7d826d
301,Saša Lukić,rs SRB,MF,Fulham,26-270,1996,3.7,7,3,1,4,2,3,5,1,4,4,11,3,0,c6e8cf1f
302,Lyanco,br BRA,DF,Southampton,26-098,1997,10.1,19,13,11,8,0,5,17,14,3,16,35,43,2,b5bf1770
303,Alexis Mac Allister,ar ARG,MF,Brighton,24-137,1998,28.2,64,37,20,36,8,34,22,2,20,22,86,7,1,83d074ff
304,James Maddison,eng ENG,MFFW,Leicester City,26-168,1996,25.1,44,22,22,16,6,26,16,0,16,13,57,6,1,ee38d9c5
305,Noni Madueke,eng ENG,FW,Chelsea,21-061,2002,4.2,5,5,2,2,1,2,11,1,10,4,9,3,0,bf34eebd
306,Harry Maguire,eng ENG,DF,Manchester Utd,30-066,1993,7.4,7,5,6,0,1,1,17,11,6,10,17,36,0,d8931174
307,Riyad Mahrez,dz ALG,FWMF,Manchester City,32-078,1991,17.5,23,11,5,10,8,19,23,0,23,8,31,4,0,892d5bb1
308,Kobbie Mainoo,eng ENG,MF,Manchester Utd,18-021,2005,0.1,0,0,0,0,0,0,1,1,0,0,0,0,0,c6220452
309,Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,25-254,1997,14.7,44,24,23,18,3,14,25,7,18,20,64,41,1,e3a5814e
310,Tyrell Malacia,nl NED,DF,Manchester Utd,23-266,1999,14.0,42,30,31,10,1,9,13,3,10,22,64,46,0,6b6c793c
311,Orel Mangala,be BEL,MF,Nott'ham Forest,25-053,1998,14.4,22,15,12,8,2,13,19,7,12,16,38,10,0,a572e291
312,Javier Manquillo,es ESP,DF,Newcastle Utd,29-005,1994,0.4,3,2,2,1,0,0,1,0,1,1,4,1,0,758dd7f0
313,Sekou Mara,fr FRA,FWMF,Southampton,20-284,2002,5.8,14,10,5,8,1,6,11,0,11,1,15,5,0,3544641e
314,Solly March,eng ENG,FWDF,Brighton,28-294,1994,30.2,53,31,16,17,20,20,34,3,31,24,77,32,0,bb5fbd2b
315,Emiliano Marcondes,dk DEN,MF,Bournemouth,28-062,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,4d960fc3
316,Marquinhos,br BRA,MF,Arsenal,20-033,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,59878425
317,Anthony Martial,fr FRA,FW,Manchester Utd,27-156,1995,8.5,3,2,0,1,2,2,8,1,7,1,4,4,0,8b788c01
318,Martinelli,br BRA,FW,Arsenal,21-326,2001,30.8,31,18,13,12,6,13,24,1,23,9,40,14,0,48a5a5d6
319,Emiliano Martínez,ar ARG,GK,Aston Villa,30-250,1992,31.9,0,0,0,0,0,2,0,0,0,1,1,20,1,7956236f
320,Lisandro Martínez,ar ARG,DF,Manchester Utd,25-112,1998,23.5,54,28,33,18,3,13,51,27,24,33,87,103,0,bac46a10
321,Pape Matar Sarr,sn SEN,MF,Tottenham,20-238,2002,2.2,7,6,4,2,1,4,2,1,1,6,13,5,0,feb5d972
322,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-316,1997,8.2,6,1,2,3,1,2,3,1,2,3,9,17,0,50e6dc35
323,Joël Matip,cm CMR,DF,Liverpool,31-275,1991,11.1,14,8,12,2,0,12,8,3,5,17,31,45,3,b217ef29
324,Neal Maupay,fr FRA,FW,Everton,26-269,1996,11.8,11,5,3,4,4,2,7,0,7,5,16,0,0,4bcf39f6
325,Kevin Mbabu,ch SUI,DFFW,Fulham,28-021,1995,1.6,3,2,2,1,0,2,2,0,2,3,6,3,0,493924a7
326,Bryan Mbeumo,cm CMR,FW,Brentford,23-276,1999,29.3,23,15,5,12,6,30,15,0,15,9,32,17,0,6afaebf2
327,James McArthur,sct SCO,MF,Crystal Palace,35-215,1987,0.2,1,1,1,0,0,0,0,0,0,0,1,1,0,cee31595
328,Alex McCarthy,eng ENG,GK,Southampton,33-158,1989,3.0,0,0,0,0,0,1,0,0,0,0,0,3,0,36c2ca73
329,John McGinn,sct SCO,MFFW,Aston Villa,28-204,1994,26.9,62,35,27,28,7,35,39,4,35,19,81,18,0,90f91999
330,Scott McKenna,sct SCO,DF,Nott'ham Forest,26-179,1996,17.5,12,7,7,3,2,4,20,14,6,12,24,85,1,4e5a4cbc
331,Weston McKennie,us USA,MF,Leeds United,24-255,1998,13.4,25,12,4,17,4,17,19,3,16,20,45,23,0,01c3aff5
332,Dwight McNeil,eng ENG,FWMF,Everton,23-169,1999,24.8,55,36,33,9,13,32,44,6,38,25,80,34,0,fc15fb84
333,Scott McTominay,sct SCO,MF,Manchester Utd,26-153,1996,12.5,32,19,16,10,6,8,14,5,9,13,45,44,0,d93c2511
334,Ben Mee,eng ENG,DF,Brentford,33-231,1989,33.3,37,21,24,11,2,15,46,35,11,46,83,117,1,8df7a2fb
335,Edouard Mendy,sn SEN,GK,Chelsea,31-070,1992,8.5,0,0,0,0,0,0,0,0,0,0,0,3,2,33887998
336,Nampalys Mendy,sn SEN,MF,Leicester City,30-321,1992,8.2,13,9,7,6,0,7,20,4,16,13,26,2,0,1598599e
337,Chris Mepham,wls WAL,DF,Bournemouth,25-186,1997,23.4,42,20,34,8,0,11,39,27,12,30,72,145,0,fed96827
338,Illan Meslier,fr FRA,GK,Leeds United,23-069,2000,34.0,2,1,2,0,0,2,0,0,0,1,3,30,3,6b625ac2
339,Alexander Mighten,eng ENG,FW,Nott'ham Forest,21-029,2002,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,10ec4169
340,Luka Milivojević,rs SRB,MF,Crystal Palace,32-033,1991,5.7,13,7,7,4,2,3,13,4,9,12,25,10,0,2ce2508a
341,James Milner,eng ENG,MFDF,Liverpool,37-126,1986,8.7,22,12,10,9,3,17,13,2,11,12,34,15,0,2f90f6b8
342,Yerry Mina,co COL,DF,Everton,28-229,1994,3.6,11,6,6,5,0,1,5,3,2,3,14,22,0,6d5701f2
343,Tyrone Mings,eng ENG,DF,Aston Villa,30-058,1993,32.0,12,5,8,4,0,10,36,21,15,44,56,142,2,8397a50c
344,Tyrick Mitchell,eng ENG,DF,Crystal Palace,23-251,1999,29.1,63,43,38,22,3,23,45,10,35,41,104,70,0,5cbd1eb0
345,Kaoru Mitoma,jp JPN,FW,Brighton,25-355,1997,21.5,40,25,13,15,12,16,23,0,23,14,54,9,0,74618572
346,Aleksandar Mitrović,rs SRB,FW,Fulham,28-236,1994,20.1,14,7,8,4,2,5,20,5,15,3,17,19,1,3925dbd6
347,Kieffer Moore,wls WAL,FW,Bournemouth,30-275,1992,13.2,14,11,2,9,3,11,10,5,5,1,15,22,0,01ce9e70
348,Andrew Moran,ie IRL,FW,Brighton,19-207,2003,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,c4720845
349,Álex Moreno,es ESP,DF,Aston Villa,29-336,1993,13.6,19,12,12,5,2,21,16,3,13,5,24,32,2,16e9d0ea
350,Mason Mount,eng ENG,MFFW,Chelsea,24-120,1999,18.3,33,19,6,16,11,13,24,6,18,8,41,9,0,9674002f
351,Lucas Moura,br BRA,MFDF,Tottenham,30-270,1992,1.4,7,5,1,2,4,1,0,0,0,2,9,1,1,2b622f01
352,João Moutinho,pt POR,MF,Wolves,36-244,1986,19.8,51,30,24,21,6,27,22,6,16,18,69,20,0,f5a00fa4
353,Divin Mubama,eng ENG,FW,West Ham,18-197,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,92868cb5
354,Mykhailo Mudryk,ua UKR,FW,Chelsea,22-125,2001,6.4,8,7,1,3,4,6,5,1,4,0,8,2,0,049a888d
355,Jacob Murphy,eng ENG,FW,Newcastle Utd,28-075,1995,13.5,15,7,3,8,4,11,17,0,17,7,22,3,0,de112b84
356,Enock Mwepu,zm ZAM,FWMF,Brighton,25-129,1998,2.4,10,5,1,6,3,1,3,1,2,1,11,1,0,1d5cab82
357,Vitaliy Mykolenko,ua UKR,DF,Everton,23-346,1999,29.5,58,34,36,19,3,23,50,16,34,46,104,99,0,30d4a2e5
358,Keylor Navas,cr CRC,GK,Nott'ham Forest,36-146,1986,15.0,0,0,0,0,0,0,0,0,0,1,1,11,1,ecada4fc
359,Wilfred Ndidi,ng NGA,MFDF,Leicester City,26-145,1996,17.0,48,33,25,20,3,26,27,11,16,34,82,46,3,6b47c5db
360,Reiss Nelson,eng ENG,FW,Arsenal,23-151,1999,1.7,3,1,2,0,1,1,2,0,2,0,3,3,0,c5bdb6e3
361,Neto,br BRA,GK,Bournemouth,33-295,1989,24.5,3,1,3,0,0,0,0,0,0,0,3,9,3,a9dc785c
362,Pedro Neto,pt POR,FWMF,Wolves,23-062,2000,10.2,11,6,4,2,5,9,5,1,4,4,15,4,0,7ba2eaa9
363,Rúben Neves,pt POR,MF,Wolves,26-058,1997,31.1,72,39,29,29,14,39,53,22,31,47,119,78,1,44bfb6c5
364,Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27-063,1996,9.9,10,4,8,2,0,6,17,8,9,15,25,53,0,00242715
365,Rasmus Nissen,dk DEN,DF,Leeds United,25-303,1997,18.8,56,29,32,18,6,27,28,12,16,30,86,51,0,39769cff
366,Eddie Nketiah,eng ENG,FW,Arsenal,23-345,1999,11.5,13,9,6,2,5,5,7,1,6,1,14,7,0,a53649b7
367,Matheus Nunes,pt POR,MF,Wolves,24-256,1998,25.7,66,42,35,22,9,32,33,3,30,14,80,33,2,e6af02e0
368,Darwin Núñez,uy URU,FW,Liverpool,23-320,1999,18.8,11,5,2,4,5,13,10,0,10,3,14,13,0,4d77b365
369,Ethan Nwaneri,eng ENG,FW,Arsenal,16-050,2007,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,7f94982c
370,Christian Nørgaard,dk DEN,MF,Brentford,29-061,1994,19.6,52,30,21,29,2,30,32,9,23,34,86,41,2,df0a4c90
